--- Configuración Actual ---
Paso: 0.200000
Gamma: 0.000000
Parada: 0.100000
Iteraciones: 100000
CapasDesde: 2
CapasHasta: 5
Repeticiones: 1
Intervalo: 10000
Batch: 100
MultiplicadorProfunda: 0.700000
Tarjeta: NVIDIA GeForce RTX 3090 Ti
----------------------------
Dimensiones Datos
trainx: 2x1598 
trainy: 1x1598 
test_x: 2x400 


--- Test Angosta 2.0 ---
Iteración 10000
Costo: 0.223255
Iteración 20000
Costo: 0.223040
Iteración 30000
Costo: 0.222674
Iteración 40000
Costo: 0.222177
Iteración 50000
Costo: 0.221677
Iteración 60000
Costo: 0.221171
Iteración 70000
Costo: 0.220656
Iteración 80000
Costo: 0.220176
Iteración 90000
Costo: 0.219756

Arquitectura: _2_6_1_
Semilla: 1788091439
Segundos: 49
NIteraciones: 100000

Costo_train: 0.219358
Precision_train: -nan(ind)
Recall_train: 0.000000
F1_train: -nan(ind)

Costo_test: 0.214755
Precision_test: -nan(ind)
Recall_test: 0.000000
F1_test: -nan(ind)
 

Arquitectura: _2_6_1_
Semilla: 1788091439
Segundos: 49
NIteraciones: 100000

Costo_train: 0.218333
Precision_train: 0.333333
Recall_train: 0.003704
F1_train: 0.007326

Costo_test: 0.213264
Precision_test: 1.000000
Recall_test: 0.007937
F1_test: 0.015748
 

Arquitectura: _2_6_1_
Semilla: 1788091439
Segundos: 49
NIteraciones: 100000

Costo_train: 0.220809
Precision_train: -nan(ind)
Recall_train: 0.000000
F1_train: -nan(ind)

Costo_test: 0.215484
Precision_test: -nan(ind)
Recall_test: 0.000000
F1_test: -nan(ind)
 

Arquitectura: _2_6_1_
Semilla: 1788091439
Segundos: 49
NIteraciones: 100000

Costo_train: 0.219824
Precision_train: -nan(ind)
Recall_train: 0.000000
F1_train: -nan(ind)

Costo_test: 0.215210
Precision_test: -nan(ind)
Recall_test: 0.000000
F1_test: -nan(ind)
 

Arquitectura: _2_6_1_
Semilla: 1788091439
Segundos: 49
NIteraciones: 100000

Costo_train: 0.222140
Precision_train: -nan(ind)
Recall_train: 0.000000
F1_train: -nan(ind)

Costo_test: 0.216230
